table_name,column_name,data_type,null_count,null_percentage,unique_values,description
olist_customers_dataset,customer_id,object,0,0.0,99441,Field customer_id in table olist_customers_dataset
olist_customers_dataset,customer_unique_id,object,0,0.0,96096,Field customer_unique_id in table olist_customers_dataset
olist_customers_dataset,customer_zip_code_prefix,int64,0,0.0,14994,Field customer_zip_code_prefix in table olist_customers_dataset
olist_customers_dataset,customer_city,object,0,0.0,4119,Field customer_city in table olist_customers_dataset
olist_customers_dataset,customer_state,object,0,0.0,27,Field customer_state in table olist_customers_dataset
olist_geolocation_dataset,geolocation_zip_code_prefix,int64,0,0.0,19015,Field geolocation_zip_code_prefix in table olist_geolocation_dataset
olist_geolocation_dataset,geolocation_lat,float64,0,0.0,717360,Field geolocation_lat in table olist_geolocation_dataset
olist_geolocation_dataset,geolocation_lng,float64,0,0.0,717613,Field geolocation_lng in table olist_geolocation_dataset
olist_geolocation_dataset,geolocation_city,object,0,0.0,8011,Field geolocation_city in table olist_geolocation_dataset
olist_geolocation_dataset,geolocation_state,object,0,0.0,27,Field geolocation_state in table olist_geolocation_dataset
olist_order_items_dataset,order_id,object,0,0.0,98666,Field order_id in table olist_order_items_dataset
olist_order_items_dataset,order_item_id,int64,0,0.0,21,Field order_item_id in table olist_order_items_dataset
olist_order_items_dataset,product_id,object,0,0.0,32951,Field product_id in table olist_order_items_dataset
olist_order_items_dataset,seller_id,object,0,0.0,3095,Field seller_id in table olist_order_items_dataset
olist_order_items_dataset,shipping_limit_date,object,0,0.0,93318,Field shipping_limit_date in table olist_order_items_dataset
olist_order_items_dataset,price,float64,0,0.0,5968,Field price in table olist_order_items_dataset
olist_order_items_dataset,freight_value,float64,0,0.0,6999,Field freight_value in table olist_order_items_dataset
olist_order_payments_dataset,order_id,object,0,0.0,99440,Field order_id in table olist_order_payments_dataset
olist_order_payments_dataset,payment_sequential,int64,0,0.0,29,Field payment_sequential in table olist_order_payments_dataset
olist_order_payments_dataset,payment_type,object,0,0.0,5,Field payment_type in table olist_order_payments_dataset
olist_order_payments_dataset,payment_installments,int64,0,0.0,24,Field payment_installments in table olist_order_payments_dataset
olist_order_payments_dataset,payment_value,float64,0,0.0,29077,Field payment_value in table olist_order_payments_dataset
olist_order_reviews_dataset,review_id,object,0,0.0,98410,Field review_id in table olist_order_reviews_dataset
olist_order_reviews_dataset,order_id,object,0,0.0,98673,Field order_id in table olist_order_reviews_dataset
olist_order_reviews_dataset,review_score,int64,0,0.0,5,Field review_score in table olist_order_reviews_dataset
olist_order_reviews_dataset,review_comment_title,object,87656,88.34,4527,Field review_comment_title in table olist_order_reviews_dataset
olist_order_reviews_dataset,review_comment_message,object,58247,58.7,36159,Field review_comment_message in table olist_order_reviews_dataset
olist_order_reviews_dataset,review_creation_date,object,0,0.0,636,Field review_creation_date in table olist_order_reviews_dataset
olist_order_reviews_dataset,review_answer_timestamp,object,0,0.0,98248,Field review_answer_timestamp in table olist_order_reviews_dataset
olist_orders_dataset,order_id,object,0,0.0,99441,Field order_id in table olist_orders_dataset
olist_orders_dataset,customer_id,object,0,0.0,99441,Field customer_id in table olist_orders_dataset
olist_orders_dataset,order_status,object,0,0.0,8,Field order_status in table olist_orders_dataset
olist_orders_dataset,order_purchase_timestamp,object,0,0.0,98875,Field order_purchase_timestamp in table olist_orders_dataset
olist_orders_dataset,order_approved_at,object,160,0.16,90733,Field order_approved_at in table olist_orders_dataset
olist_orders_dataset,order_delivered_carrier_date,object,1783,1.79,81018,Field order_delivered_carrier_date in table olist_orders_dataset
olist_orders_dataset,order_delivered_customer_date,object,2965,2.98,95664,Field order_delivered_customer_date in table olist_orders_dataset
olist_orders_dataset,order_estimated_delivery_date,object,0,0.0,459,Field order_estimated_delivery_date in table olist_orders_dataset
olist_products_dataset,product_id,object,0,0.0,32951,Field product_id in table olist_products_dataset
olist_products_dataset,product_category_name,object,610,1.85,73,Field product_category_name in table olist_products_dataset
olist_products_dataset,product_name_lenght,float64,610,1.85,66,Field product_name_lenght in table olist_products_dataset
olist_products_dataset,product_description_lenght,float64,610,1.85,2960,Field product_description_lenght in table olist_products_dataset
olist_products_dataset,product_photos_qty,float64,610,1.85,19,Field product_photos_qty in table olist_products_dataset
olist_products_dataset,product_weight_g,float64,2,0.01,2204,Field product_weight_g in table olist_products_dataset
olist_products_dataset,product_length_cm,float64,2,0.01,99,Field product_length_cm in table olist_products_dataset
olist_products_dataset,product_height_cm,float64,2,0.01,102,Field product_height_cm in table olist_products_dataset
olist_products_dataset,product_width_cm,float64,2,0.01,95,Field product_width_cm in table olist_products_dataset
olist_sellers_dataset,seller_id,object,0,0.0,3095,Field seller_id in table olist_sellers_dataset
olist_sellers_dataset,seller_zip_code_prefix,int64,0,0.0,2246,Field seller_zip_code_prefix in table olist_sellers_dataset
olist_sellers_dataset,seller_city,object,0,0.0,611,Field seller_city in table olist_sellers_dataset
olist_sellers_dataset,seller_state,object,0,0.0,23,Field seller_state in table olist_sellers_dataset
product_category_name_translation,product_category_name,object,0,0.0,71,Field product_category_name in table product_category_name_translation
product_category_name_translation,product_category_name_english,object,0,0.0,71,Field product_category_name_english in table product_category_name_translation
