year_month,total_orders,unique_customers,gmv,items_revenue,freight_revenue,total_items,review_score,delivery_days,delay_rate,aov,mom_growth
2016-09,1,1,143.46,134.97,8.49,3.0,1.0,54.81319444444444,1.0,143.46,
2016-10,265,262,46490.66,40325.11,6165.55,313.0,4.011494252873563,19.600558787561145,0.011320754716981131,175.4364528301887,32306.705701937823
2016-12,1,1,19.62,10.9,8.72,1.0,5.0,4.693020833333334,0.0,19.62,-99.95779797490508
2017-01,750,718,127482.37,111798.36,15684.01,913.0,4.2002743484224965,12.647043518518519,0.030666666666666665,169.97649333333334,649657.237512742
2017-02,1653,1630,271239.32,234223.4,37015.92,1858.0,4.208078335373317,13.168825248986131,0.03206291591046582,164.08912280701756,112.76614170257426
2017-03,2546,2508,414330.95,359198.85,55132.1,2897.0,4.193901952969311,12.951184487831313,0.05577376276512176,162.73800078554595,52.754751781563236
2017-04,2303,2274,390812.4,340669.68,50142.72,2569.0,4.134666080843585,14.91791250040205,0.07859313938341293,169.6970907511941,-5.676271589172854
2017-05,3546,3479,566851.4,489338.25,77513.15,4004.0,4.240915593705293,11.322362975369588,0.03609701071630006,159.85657078398197,45.04437423172858
2017-06,3135,3076,490050.37,421923.37,68127.0,3489.0,4.2255029201817,12.01157270438301,0.03859649122807018,156.31590749601276,-13.548706062999937
2017-07,3872,3802,566299.08,481604.52,84694.56,4416.0,4.262454116413214,11.592732387200606,0.034349173553719005,146.2549276859504,15.55936178560582
2017-08,4193,4114,645832.36,554699.7,91132.66,4797.0,4.31475648170584,11.147124655510508,0.03315048891008824,154.02632005723825,14.044395057113634
2017-09,4150,4083,701077.49,607399.67,93677.82,4737.0,4.2675213675213675,11.85100652889335,0.052048192771084335,168.93433493975903,8.554097537014105
2017-10,4478,4417,751117.01,648247.65,102869.36,5214.0,4.207192942773128,11.856699698526127,0.05292541313086199,167.73492853952658,7.137516282258627
2017-11,7289,7183,1153364.2,987765.37,165598.83,8475.0,3.989516800888642,15.161131699241778,0.14309233090958978,158.23352997667718,53.553199387669295
2017-12,5513,5450,843078.29,726033.1900000001,117045.1,6187.0,4.092681132769401,15.394918530107287,0.08380192272809722,152.92550154181026,-26.902682604506012
2018-01,7069,6974,1077887.46,924645.0,153242.46,8037.0,4.110720940232191,14.080562613956085,0.06563870420144292,152.48089687367377,27.851407489095692
2018-02,6555,6400,966168.41,826437.13,139731.28,7518.0,3.8859676415681395,16.945137568155495,0.15987795575896263,147.39411289092297,-10.364630274110432
2018-03,7003,6914,1120598.24,953356.25,167241.99,8017.0,3.814533622559653,16.30141017440938,0.21362273311437954,160.01688419248893,15.983738280161731
2018-04,6798,6744,1132878.93,973534.09,159344.84,7827.0,4.2064056939501775,11.499241053673193,0.05310385407472786,166.64885701676963,1.0959048088456713
2018-05,6749,6693,1128774.52,977544.6900000001,151229.83,7810.0,4.236595174262734,11.419028935356678,0.08238257519632539,167.2506326863239,-0.3622990852164554
2018-06,6099,6061,1011978.29,856077.86,155900.43,7010.0,4.307324315407456,9.239216293167347,0.013608788325955074,165.9252811936383,-10.347171018707968
2018-07,6159,6100,1027807.28,867953.46,159853.82,6963.0,4.319813176007866,8.958636237154959,0.044812469556746226,166.8789219029063,1.5641630019552988
2018-08,6351,6310,985491.64,838576.64,146915.0,7142.0,4.313419844912169,7.732779720458137,0.10392064241851677,155.17109746496615,-4.117079225202613
