customer_state,total_orders,unique_customers,gmv,freight_revenue,delivery_days,review_score,delay_rate
SP,40501,39156,5769703.15,702069.99,8.761385996084925,4.2479538876135345,0.058936816374904326
RJ,12350,11917,2055401.57,295750.44,15.30943754217274,3.9693524468610972,0.13473684210526315
MG,11354,11001,1818891.67,266409.84,12.008665646060452,4.1954217511356555,0.056103575832305796
RS,5345,5168,861472.79,132575.32,15.300276192406853,4.188844847112118,0.0714686623012161
PR,4923,4769,781708.8,115645.29,11.991582227413277,4.242011470708726,0.049969530773918344
SC,3546,3449,595127.78,88115.65,14.954782876767771,4.136558219178082,0.09757473209249859
BA,3256,3158,591137.81,97553.67,19.335465824489262,3.932731236374961,0.14035626535626536
DF,2080,2019,346123.35,49624.94,12.96756810897436,4.13441905687895,0.07067307692307692
GO,1957,1895,334212.35,51375.65,15.606338535456764,4.1061076604554865,0.08175779253960143
ES,1995,1928,317657.93,49014.48,15.789307110368513,4.079470198675497,0.12230576441102757
PE,1593,1551,308972.05,57082.56,18.448322994408407,4.081587301587302,0.10797237915881984
CE,1279,1258,266436.77,46679.39,21.26657863492891,3.9453186467348544,0.1532447224394058
PA,946,922,212023.57,37552.98,23.77291691136168,3.9156756756756756,0.12367864693446089
MT,886,856,181224.42,29032.8,18.05575601172561,4.147025171624714,0.06772009029345373
MA,717,700,147803.55,30794.17,21.572976474120562,3.825070821529745,0.19665271966527198
PB,517,504,137838.55,25251.73,20.426767609606706,4.074363992172211,0.1102514506769826
MS,701,681,134367.55,18937.579999999998,15.618319018465684,4.156115107913669,0.11554921540656206
PI,476,464,105178.19,20457.19,19.45709826291628,3.9893390191897655,0.15966386554621848
RN,474,464,100714.78,18609.12,19.27815620604782,4.146808510638298,0.10759493670886076
AL,397,387,94172.49,15316.77,24.543855361974067,3.8596938775510203,0.23929471032745592
SE,335,329,70289.13,13714.94,21.519788280818133,3.900302114803625,0.15223880597014924
TO,274,267,60007.37,11604.86,17.65806260982698,4.162361623616236,0.12773722627737227
RO,243,231,56966.0,11283.24,19.37203651310776,4.171548117154812,0.02880658436213992
AM,145,140,27585.47,5429.63,26.42599090038314,4.2377622377622375,0.041379310344827586
AC,80,76,19575.33,3644.36,21.035712962962965,4.113924050632911,0.0375
AP,67,66,16141.81,2767.0,27.185067716970703,4.242424242424242,0.04477611940298507
RR,41,40,9039.52,1982.05,29.387546014001806,3.902439024390244,0.12195121951219512
